date,open,high,low,close,volume_hands,rsi_14,macd_dif,macd_dea,macd_hist,bb_mid_20,bb_upper_20,bb_lower_20,bb_width_20,bb_percent_b_20,true_range,atr_14,atr_pct_14
20250908,10.7,10.79,10.61,10.77,65482.0,44.01362821564731,-0.2821372515007017,-0.20676069896552898,-0.0753765525351727,11.12,12.06819496107634,10.171805038923658,0.17053866206409016,0.3154387998420188,0.1899999999999995,0.5026248395645236,4.666897303291771
20250909,10.85,11.08,10.72,10.98,100314.0,46.67340502250705,-0.26817272342101717,-0.21904310385662662,-0.04912961956439055,11.104000000000001,12.050203494303217,10.157796505696785,0.17042570142348987,0.43447498305250176,0.35999999999999943,0.4924373510242005,4.484857477451735
20250910,11.1,11.11,10.88,10.96,75129.69,46.447088246082195,-0.25577119602615106,-0.22638872229053153,-0.02938247373561953,11.096,12.044337048677724,10.147662951322276,0.17093313782943828,0.42829553575407314,0.22999999999999865,0.47369182595104325,4.322005711232146
20250911,10.97,11.02,10.75,11.0,67379.7,47.00060762776228,-0.23994924497859493,-0.22910082682814423,-0.010848418150450706,11.1045,12.04581990199654,10.16318009800346,0.16953845774173348,0.4444928340629178,0.2699999999999996,0.459142409811683,4.174021907378936
20250912,10.99,11.06,10.84,10.86,63583.71,45.238194439465474,-0.23598675632334576,-0.23047801272718454,-0.005508743596161214,11.1105,12.043530715351595,10.177469284648405,0.1679547662754323,0.36576004633159137,0.22000000000000064,0.4420608091108486,4.070541520357722
20250915,10.85,10.85,10.64,10.71,57715.18,43.36206779074668,-0.2421587466211026,-0.23281415950596818,-0.009344587115134417,11.0995,12.046572497641819,10.152427502358183,0.17065138026790716,0.2943663230798892,0.21999999999999886,0.4261993227457879,3.9794521264779448
20250916,10.8,11.02,10.7,10.98,73886.54,47.576509145399804,-0.22269624618064476,-0.2307905768409035,0.008094330660258747,11.1035,12.04769612146498,10.15930387853502,0.1700718010474139,0.4346004515415813,0.3200000000000003,0.41861365683537455,3.812510535841298
20250917,11.05,11.05,10.88,10.92,49720.0,46.744109878052235,-0.20969632422665896,-0.2265717263180546,0.016875402091395653,11.1095,12.047077505568156,10.171922494431845,0.16878842532393995,0.39894168808734004,0.16999999999999993,0.40085553848999067,3.670838264560354
20250918,10.93,10.97,10.65,10.7,66943.51,43.72339908806352,-0.21467135603790588,-0.22419165226202487,0.009520296224118985,11.099,12.050583721459866,10.147416278540135,0.1714719743147789,0.29034950314835256,0.3200000000000003,0.3950801428835628,3.692337783958531
20250919,10.76,10.77,10.59,10.63,40974.0,42.77619311719121,-0.22170682134827935,-0.22369468607927578,0.001987864730996436,11.0865,12.056584640908385,10.116415359091613,0.1750028667132794,0.2647112526322794,0.17999999999999972,0.3797172755347369,3.572128650373818
