date,close,ma_5,ma_15,signal,position,strategy_return,strategy_cum_return,strategy_nav,benchmark_return,benchmark_cum_return,benchmark_nav,drawdown
20251027,10.77,10.976,10.766,0,1,-0.039250669045495234,-0.08123222748815195,91876.7772511848,-0.039250669045495234,-0.009199632014720516,99080.03679852794,-0.0875251574368633
20251028,10.74,10.944,10.780666666666665,0,1,-0.0027855153203342198,-0.08379146919431302,91620.8530805687,-0.0027855153203342198,-0.01195952161913627,98804.04783808638,-0.09006687009024236
20251029,10.51,10.858,10.773333333333333,0,1,-0.02141527001862198,-0.10341232227488173,89658.76777251183,-0.02141527001862198,-0.03311867525299095,96688.1324747009,-0.1095533337661497
20251030,10.39,10.724,10.765333333333333,-1,0,-0.011417697431018059,-0.11364928909952621,88635.07109004738,-0.011417697431018059,-0.04415823367065419,95584.17663293458,-0.11972018437966649
20251031,10.7,10.622,10.766,0,0,0.0,-0.11364928909952621,88635.07109004738,0.02983638113570719,-0.015639374425024277,98436.06255749757,-0.11972018437966649
20251103,10.93,10.654,10.787333333333333,0,0,0.0,-0.11364928909952621,88635.07109004738,0.021495327102803774,0.0055197792088304,100551.97792088304,-0.11972018437966649
20251104,10.87,10.68,10.808666666666666,0,0,-0.0,-0.11364928909952621,88635.07109004738,-0.005489478499542622,-1.3322676295501878e-15,99999.99999999987,-0.11972018437966649
20251105,10.84,10.745999999999999,10.798,0,0,-0.0,-0.11364928909952621,88635.07109004738,-0.002759889604415755,-0.0027598896044170873,99724.01103955829,-0.11972018437966649
20251106,10.98,10.864,10.812666666666667,1,1,0.0,-0.11364928909952621,88635.07109004738,0.012915129151291671,0.010119595216190325,101011.95952161904,-0.11972018437966649
20251107,10.86,10.896,10.827333333333334,0,1,-0.010928961748634003,-0.123336182114832,87666.3817885168,-0.010928961748634003,-0.0009199632014730286,99908.0036798527,-0.1293407288126757
20251110,11.38,10.985999999999999,10.871999999999998,0,1,0.047882136279926435,-0.08135964571517373,91864.03542848263,0.047882136279926435,0.04691812327506795,104691.81232750679,-0.08765170293630267
20251111,11.53,11.117999999999999,10.914,0,1,0.013181019332161537,-0.06925102944604167,93074.89705539584,0.013181019332161537,0.06071757129714683,106071.75712971468,-0.0756260223950414
20251112,11.5,11.25,10.951333333333334,0,1,-0.002601908065914982,-0.07167275269986806,92832.7247300132,-0.002601908065914982,0.05795768169273097,105795.7681692731,-0.07803115850329359
20251113,11.64,11.382,10.990000000000002,0,1,0.012173913043478368,-0.060371377515344604,93962.86224846554,0.012173913043478368,0.07083716651333827,107083.71665133383,-0.0668071899981163
20251114,11.54,11.517999999999999,11.012,0,1,-0.0085910652920963,-0.06844378836143283,93155.62116385672,-0.0085910652920963,0.06163753449861886,106163.75344986189,-0.07482431035895729
20251117,11.74,11.59,11.076666666666664,0,1,0.017331022530329365,-0.0522989666692566,94770.10333307434,0.017331022530329365,0.08003679852805767,108003.67985280577,-0.058790069637275455
20251118,11.48,11.580000000000002,11.126000000000001,0,1,-0.022146507666098825,-0.07328723486908573,92671.27651309143,-0.022146507666098825,0.05611775528978713,105611.77552897872,-0.07963458257546183
20251119,11.27,11.534,11.176666666666666,0,1,-0.018292682926829396,-0.09023929764587091,90976.0702354129,-0.018292682926829396,0.03679852805887629,103679.85280588763,-0.09647053533322805
20251120,11.25,11.456,11.234,0,1,-0.0017746228926353025,-0.09185377981508847,90814.62201849115,-0.0017746228926353025,0.03495860165593245,103495.86016559324,-0.09807395940539614
20251121,10.67,11.282,11.232,0,1,-0.05155555555555558,-0.1386737627223995,86132.62372776004,-0.05155555555555558,-0.018399264029440032,98160.07359705599,-0.14457325749827357
20251124,10.74,11.081999999999999,11.219333333333335,-1,0,0.006560449859418949,-0.13302307513013778,86697.69248698623,0.006560449859418949,-0.011959521619136382,98804.04783808636,-0.13896127324568477
20251125,11.13,11.011999999999999,11.236666666666668,0,0,0.0,-0.13302307513013778,86697.69248698623,0.036312849162011274,0.023919043238269433,102391.90432382694,-0.13896127324568477
20251126,10.95,10.948,11.244,0,0,-0.0,-0.13302307513013778,86697.69248698623,-0.016172506738544645,0.0073597056117742365,100735.97056117743,-0.13896127324568477
20251127,10.83,10.864,11.234000000000002,0,0,-0.0,-0.13302307513013778,86697.69248698623,-0.010958904109588996,-0.0036798528058890057,99632.0147194111,-0.13896127324568477
20251128,11.0,10.93,11.243333333333334,0,0,0.0,-0.13302307513013778,86697.69248698623,0.015697137580794163,0.01195952161913394,101195.95216191339,-0.13896127324568477
20251201,10.92,10.966,11.212666666666667,0,0,-0.0,-0.13302307513013778,86697.69248698623,-0.0072727272727273196,0.0045998160073583705,100459.98160073583,-0.13896127324568477
20251202,10.77,10.894,11.162,0,0,-0.0,-0.13302307513013778,86697.69248698623,-0.013736263736263798,-0.009199632014720738,99080.03679852793,-0.13896127324568477
20251203,10.64,10.831999999999999,11.104666666666667,0,0,-0.0,-0.13302307513013778,86697.69248698623,-0.01207056638811499,-0.021159153633855787,97884.08463661443,-0.13896127324568477
20251204,10.34,10.734,11.017999999999999,0,0,-0.0,-0.13302307513013778,86697.69248698623,-0.02819548872180455,-0.048758049678014004,95124.1950321986,-0.13896127324568477
20251205,10.36,10.606,10.939333333333334,0,0,0.0,-0.13302307513013778,86697.69248698623,0.0019342359767891004,-0.04691812327507017,95308.18767249299,-0.13896127324568477
20251208,10.47,10.516,10.854666666666668,0,0,0.0,-0.13302307513013778,86697.69248698623,0.010617760617760652,-0.03679852805887884,96320.14719411211,-0.13896127324568477
20251209,10.36,10.434000000000001,10.78,0,0,-0.0,-0.13302307513013778,86697.69248698623,-0.010506208213944768,-0.04691812327507039,95308.18767249296,-0.13896127324568477
20251210,10.71,10.448,10.742666666666668,0,0,0.0,-0.13302307513013778,86697.69248698623,0.033783783783783994,-0.014719411223552248,98528.05887764477,-0.13896127324568477
20251211,10.28,10.436,10.677999999999999,0,0,-0.0,-0.13302307513013778,86697.69248698623,-0.04014939309056975,-0.05427782888684585,94572.21711131542,-0.13896127324568477
20251212,10.15,10.394,10.643333333333334,0,0,-0.0,-0.13302307513013778,86697.69248698623,-0.012645914396887115,-0.06623735050598101,93376.2649494019,-0.13896127324568477
20251215,10.13,10.326,10.602666666666666,0,0,-0.0,-0.13302307513013778,86697.69248698623,-0.0019704433497536034,-0.06807727690892484,93192.27230910752,-0.13896127324568477
20251216,9.88,10.23,10.519333333333332,0,0,-0.0,-0.13302307513013778,86697.69248698623,-0.024679170779861814,-0.09107635694572336,90892.36430542766,-0.13896127324568477
20251217,9.86,10.059999999999999,10.446666666666667,0,0,-0.0,-0.13302307513013778,86697.69248698623,-0.002024291497975894,-0.09291628334866742,90708.37166513327,-0.13896127324568477
20251218,9.97,9.998000000000001,10.389333333333333,0,0,0.0,-0.13302307513013778,86697.69248698623,0.011156186612576224,-0.08279668813247598,91720.3311867524,-0.13896127324568477
20251219,10.29,10.026,10.342,0,0,0.0,-0.13302307513013778,86697.69248698623,0.032096288866599654,-0.05335786568537404,94664.2134314626,-0.13896127324568477
20251222,10.15,10.03,10.290666666666668,0,0,-0.0,-0.13302307513013778,86697.69248698623,-0.013605442176870652,-0.06623735050598112,93376.26494940188,-0.13896127324568477
20251223,10.03,10.059999999999999,10.241333333333333,0,0,-0.0,-0.13302307513013778,86697.69248698623,-0.011822660098522286,-0.07727690892364447,92272.30910763555,-0.13896127324568477
20251224,10.16,10.12,10.209333333333335,0,0,0.0,-0.13302307513013778,86697.69248698623,0.012961116650049842,-0.06531738730450931,93468.26126954907,-0.13896127324568477
20251225,10.19,10.163999999999998,10.199333333333334,0,0,0.0,-0.13302307513013778,86697.69248698623,0.0029527559055118058,-0.06255749770009345,93744.25022999065,-0.13896127324568477
20251226,10.08,10.122,10.180666666666665,0,0,-0.0,-0.13302307513013778,86697.69248698623,-0.01079489695780167,-0.07267709291628466,92732.29070837154,-0.13896127324568477
20251229,10.1,10.112,10.156,0,0,0.0,-0.13302307513013778,86697.69248698623,0.001984126984126977,-0.07083716651334082,92916.28334866592,-0.13896127324568477
20251230,10.04,10.113999999999999,10.134666666666668,0,0,-0.0,-0.13302307513013778,86697.69248698623,-0.005940594059405946,-0.07635694572217244,92364.30542778276,-0.13896127324568477
