date,open,high,low,close,pre_close,change,pct_chg,volume_hands,volume_shares,amount_thousand_yuan,raw_open,raw_high,raw_low,raw_close,raw_pre_close,raw_change,raw_pct_chg,adj_factor
20250930,4.27,4.27,4.25,4.25,4.28,-0.03,-0.7009,1018212.65,101821265.0,433408.906,4.27,4.27,4.25,4.25,4.28,-0.03,-0.7009,1.0
20251009,4.26,4.34,4.25,4.34,4.25,0.09,2.1176,2822870.78,282287078.0,1215604.205,4.26,4.34,4.25,4.34,4.25,0.09,2.1176,1.0
20251010,4.34,4.35,4.31,4.32,4.34,-0.02,-0.4608,1706118.15,170611815.0,738491.017,4.34,4.35,4.31,4.32,4.34,-0.02,-0.4608,1.0
20251013,4.28,4.35,4.26,4.34,4.32,0.02,0.463,2208194.49,220819449.00000003,949378.372,4.28,4.35,4.26,4.34,4.32,0.02,0.463,1.0
20251014,4.34,4.36,4.32,4.33,4.34,-0.01,-0.2304,1782534.96,178253496.0,773718.789,4.34,4.36,4.32,4.33,4.34,-0.01,-0.2304,1.0
20251015,4.33,4.35,4.29,4.31,4.33,-0.02,-0.4619,1485340.9,148534090.0,641224.834,4.33,4.35,4.29,4.31,4.33,-0.02,-0.4619,1.0
20251016,4.31,4.32,4.29,4.32,4.31,0.01,0.232,1377712.54,137771254.0,593728.799,4.31,4.32,4.29,4.32,4.31,0.01,0.232,1.0
20251017,4.31,4.35,4.29,4.3,4.32,-0.02,-0.463,1776198.59,177619859.0,766581.679,4.31,4.35,4.29,4.3,4.32,-0.02,-0.463,1.0
20251020,4.33,4.33,4.27,4.29,4.3,-0.01,-0.2326,1549972.52,154997252.0,665732.327,4.33,4.33,4.27,4.29,4.3,-0.01,-0.2326,1.0
20251021,4.29,4.31,4.28,4.29,4.29,0.0,0.0,1153074.55,115307455.0,495552.875,4.29,4.31,4.28,4.29,4.29,0.0,0.0,1.0
20251022,4.29,4.31,4.29,4.29,4.29,0.0,0.0,820992.09,82099209.0,353008.192,4.29,4.31,4.29,4.29,4.29,0.0,0.0,1.0
20251023,4.3,4.34,4.29,4.33,4.29,0.04,0.9324,1556151.86,155615186.0,671708.793,4.3,4.34,4.29,4.33,4.29,0.04,0.9324,1.0
20251024,4.33,4.33,4.29,4.3,4.33,-0.03,-0.6928,1305831.0,130583100.0,562442.714,4.33,4.33,4.29,4.3,4.33,-0.03,-0.6928,1.0
20251027,4.31,4.33,4.29,4.33,4.3,0.03,0.6977,1492425.05,149242505.0,643798.999,4.31,4.33,4.29,4.33,4.3,0.03,0.6977,1.0
20251028,4.32,4.32,4.28,4.29,4.33,-0.04,-0.9238,1451357.42,145135742.0,624116.209,4.32,4.32,4.28,4.29,4.33,-0.04,-0.9238,1.0
