date,open,high,low,close,pre_close,change,pct_chg,volume_hands,volume_shares,amount_thousand_yuan,raw_open,raw_high,raw_low,raw_close,raw_pre_close,raw_change,raw_pct_chg,adj_factor
20251212,10.28,10.44,10.08,10.15,10.28,-0.13,-1.2646,64692.01,6469201.0,66157.67,10.28,10.44,10.08,10.15,10.28,-0.13,-1.2646,1.214
20251215,10.14,10.24,9.99,10.13,10.15,-0.02,-0.197,36519.47,3651947.0,36905.077,10.14,10.24,9.99,10.13,10.15,-0.02,-0.197,1.214
20251216,10.24,10.24,9.81,9.88,10.13,-0.25,-2.4679,39118.0,3911800.0,38839.173,10.24,10.24,9.81,9.88,10.13,-0.25,-2.4679,1.214
20251217,9.78,9.9,9.62,9.86,9.88,-0.02,-0.2024,36834.0,3683400.0,35947.856,9.78,9.9,9.62,9.86,9.88,-0.02,-0.2024,1.214
20251218,9.9,10.15,9.76,9.97,9.86,0.11,1.1156,39973.0,3997300.0,40037.253,9.9,10.15,9.76,9.97,9.86,0.11,1.1156,1.214
20251219,9.96,10.3,9.9,10.29,9.97,0.32,3.2096,40999.0,4099900.0,41640.656,9.96,10.3,9.9,10.29,9.97,0.32,3.2096,1.214
20251222,10.34,10.34,10.15,10.15,10.29,-0.14,-1.3605,35493.0,3549300.0,36160.119,10.34,10.34,10.15,10.15,10.29,-0.14,-1.3605,1.214
20251223,10.14,10.18,9.95,10.03,10.15,-0.12,-1.1823,26464.0,2646400.0,26507.385,10.14,10.18,9.95,10.03,10.15,-0.12,-1.1823,1.214
20251224,10.02,10.21,9.95,10.16,10.03,0.13,1.2961,28961.0,2896100.0,29273.121,10.02,10.21,9.95,10.16,10.03,0.13,1.2961,1.214
20251225,10.25,10.25,10.09,10.19,10.16,0.03,0.2953,19469.0,1946900.0,19765.167,10.25,10.25,10.09,10.19,10.16,0.03,0.2953,1.214
20251226,10.17,10.24,10.08,10.08,10.19,-0.11,-1.0795,25207.0,2520700.0,25590.387,10.17,10.24,10.08,10.08,10.19,-0.11,-1.0795,1.214
20251229,10.03,10.22,10.03,10.1,10.08,0.02,0.1984,28401.0,2840100.0,28714.396,10.03,10.22,10.03,10.1,10.08,0.02,0.1984,1.214
20251230,10.07,10.15,9.99,10.04,10.1,-0.06,-0.5941,27565.0,2756500.0,27729.625,10.07,10.15,9.99,10.04,10.1,-0.06,-0.5941,1.214
20251231,10.0,10.2,9.93,10.18,10.04,0.14,1.3944,30368.0,3036800.0,30602.245,10.0,10.2,9.93,10.18,10.04,0.14,1.3944,1.214
20260105,10.17,10.34,10.02,10.26,10.18,0.08,0.7859,45538.81,4553881.0,46707.063,10.17,10.34,10.02,10.26,10.18,0.08,0.7859,1.214
20260106,10.25,10.47,10.21,10.29,10.26,0.03,0.2924,37774.03,3777403.0,38942.107,10.25,10.47,10.21,10.29,10.26,0.03,0.2924,1.214
20260107,10.3,10.35,10.07,10.08,10.29,-0.21,-2.0408,35426.0,3542600.0,36066.836,10.3,10.35,10.07,10.08,10.29,-0.21,-2.0408,1.214
20260108,10.08,10.3,10.08,10.3,10.08,0.22,2.1825,38357.01,3835701.0,39283.607,10.08,10.3,10.08,10.3,10.08,0.22,2.1825,1.214
20260109,10.3,10.59,10.18,10.51,10.3,0.21,2.0388,51715.01,5171501.0,53807.706,10.3,10.59,10.18,10.51,10.3,0.21,2.0388,1.214
20260112,10.51,10.73,10.43,10.63,10.51,0.12,1.1418,47463.42,4746342.0,50323.655,10.51,10.73,10.43,10.63,10.51,0.12,1.1418,1.214
20260113,10.69,10.79,10.6,10.64,10.63,0.01,0.0941,50273.01,5027301.0,53794.869,10.69,10.79,10.6,10.64,10.63,0.01,0.0941,1.214
20260114,10.6,11.2,10.6,10.86,10.64,0.22,2.0677,91826.11,9182611.0,100184.18,10.6,11.2,10.6,10.86,10.64,0.22,2.0677,1.214
20260115,10.85,10.85,10.58,10.64,10.86,-0.22,-2.0258,50061.0,5006100.0,53358.448,10.85,10.85,10.58,10.64,10.86,-0.22,-2.0258,1.214
20260116,10.65,10.71,10.33,10.5,10.64,-0.14,-1.3158,46910.0,4691000.0,49092.433,10.65,10.71,10.33,10.5,10.64,-0.14,-1.3158,1.214
